Year,Index
1961,1006.87
1962,1010.68
1963,1007.47
1964,1009.08
1965,1009.89
1966,1011.27
1967,1010.96
1968,1009.02
1969,1010.83
1970,1005.74
1971,1011.48
1972,1011.84
1973,1009.51
1974,1009.06
1975,1010.02
1976,1010.09
1977,1005.95
1978,1006.49
1979,1010.55
1980,1007.69
1981,1004.44
1982,1010.6
1983,1003.46
1984,1006.28
1985,1010.01
1986,1004.79
1987,1005.97
1988,1008.13
1989,1011.74
1990,1010.9
1991,1011.24
1992,1006.45
1993,1008.75
1994,1010.36
1995,1008.56
1996,1007.77
1997,1008.67
1998,1005.48
1999,1009.45
2000,1008.45
2001,1007.08
2002,1009.2
2003,1005.06
2004,1008.56
2005,1008.15
2006,1010.11
2007,1009.83
2008,1009.3
2009,1013.47
2010,1006.49
2011,1011.13
2012,1010.33
2013,1010.31
2014,1009.81
2015,1007.86
2016,1006.59
2017,1010.26
2018,1012.98
2019,1009.4
2020,1011.8
